USWTDB_ID,Longitude,Latitude,Plant_Code
Seiling,-98.99594900000,36.13744400000,59311
Seiling,-98.98702200000,36.11381500000,59311
Seiling,-99.02449800000,36.13924400000,59311
Seiling,-99.02817500000,36.09061400000,59311
Seiling,-98.96197500000,36.10380600000,59311
Seiling,-99.03155500000,36.07358600000,59311
Seiling,-98.98585500000,36.12106300000,59311
Seiling,-99.04206800000,36.11322400000,59311
Seiling,-98.96632400000,36.10566300000,59311
Seiling,-98.97539500000,36.10385500000,59311
Seiling,-98.96800200000,36.12804400000,59311
Seiling,-98.98956300000,36.09948300000,59311
Seiling,-98.91348300000,36.09872400000,59311
Seiling,-98.98326100000,36.11364400000,59311
Seiling,-98.94895900000,36.09659200000,59311
Seiling,-99.03041100000,36.13243500000,59311
Seiling,-99.00415800000,36.12472500000,59311
Seiling,-98.98962400000,36.12415300000,59311
Seiling,-99.02051500000,36.13835500000,59311
Seiling,-98.97810400000,36.12090300000,59311
Seiling,-99.03772000000,36.09662200000,59311
Seiling,-99.01357300000,36.12731600000,59311
Seiling,-98.99379000000,36.12395500000,59311
Seiling,-99.01167300000,36.10219200000,59311
Seiling,-99.00253300000,36.09585200000,59311
Seiling,-99.03525500000,36.09129300000,59311
Seiling,-99.02016400000,36.07963600000,59311
Seiling,-99.00594300000,36.13300300000,59311
Seiling,-99.05438200000,36.07637400000,59311
Seiling,-99.02921300000,36.12428300000,59311
Seiling,-98.96499600000,36.12496200000,59311
Seiling,-99.01702100000,36.11285400000,59311
Seiling,-98.94135300000,36.08860400000,59311
Seiling,-98.95783200000,36.10241300000,59311
Seiling,-99.05769300000,36.07660300000,59311
Seiling,-98.89186900000,36.09911300000,59311
Seiling,-99.04616500000,36.07857500000,59311
Seiling,-99.03027300000,36.09896500000,59311
Chanarambie,-96.04241200000,44.01001400000,56142
Seiling,-99.02793100000,36.07358600000,59311
Chanarambie,-96.05468800000,44.02990700000,56142
Seiling,-98.95381900000,36.11158400000,59311
Chanarambie,-96.04863000000,44.02059900000,56142
Seiling,-99.05403100000,36.08514400000,59311
Chanarambie,-96.04599000000,44.01544200000,56142
Seiling,-98.99929000000,36.12645300000,59311
Chanarambie,-96.03793300000,44.00674100000,56142
Seiling,-99.03266900000,36.12481300000,59311
Chanarambie,-96.05206300000,44.02674900000,56142
Seiling,-99.02378100000,36.09030500000,59311
Chanarambie,-96.06323200000,44.04890400000,56142
Seiling,-99.03498100000,36.11209900000,59311
Chanarambie,-96.05954000000,44.04555500000,56142
Seiling,-98.97909500000,36.10427500000,59311
Chanarambie,-96.06256900000,44.00337200000,56142
Seiling,-98.93183100000,36.09935400000,59311
Chanarambie,-96.01946300000,43.98327600000,56142
Seiling,-99.04115300000,36.09112500000,59311
Chandler Hills Wind Farm,-95.95008900000,43.91719100000,56646
Seiling,-98.96421100000,36.11701200000,59311
Chanarambie,-96.05630500000,44.01325200000,56142
Seiling,-99.01355000000,36.08423200000,59311
Chandler Hills Wind Farm,-95.95454400000,43.91715600000,56646
Seiling,-99.01476300000,36.13827500000,59311
Chandler Hills Wind Farm,-95.95700800000,43.91662200000,56646
Seiling,-99.00698100000,36.10286700000,59311
Seiling,-99.04595200000,36.12468300000,59311
Seiling,-99.05361900000,36.13134400000,59311
Chanarambie,-96.05457300000,44.04928600000,56142
Seiling,-99.04589800000,36.13204200000,59311
Chanarambie,-96.05921900000,44.01713600000,56142
Seiling,-98.94905100000,36.10504500000,59311
